filename	text
img_0000_frag_0000.png	явилась
img_0000_frag_0001.png	в декабре
img_0000_frag_0002.png	мой
img_0000_frag_0003.png	пепел
img_0000_frag_0004.png	что остался
img_0000_frag_0005.png	в сердце
img_0000_frag_0006.png	тоскливо
img_0000_frag_0008.png	вспомнил о тебе
img_0000_frag_0009.png	я перестал
img_0000_frag_0010.png	надеятся на вечность
img_0000_frag_0011.png	я пеестал
img_0000_frag_0012.png	надеятся вообше
img_0000_frag_0013.png	внутри
img_0000_frag_0014.png	мен зима
img_0000_frag_0015.png	и бесконечность
img_0000_frag_0016.png	и мне
img_0000_frag_0017.png	так
img_0000_frag_0018.png	жаль
img_0000_frag_0019.png	что
img_0000_frag_0020.png	дело
img_0000_frag_0021.png	не
img_0000_frag_0022.png	в зиме
